Antibody,Threshold,OASis Percentile,OASis Identity,Heavy V Germline,Heavy J Germline,Heavy OASis Percentile,Heavy OASis Identity,Heavy Non-human peptides,Light V Germline,Light J Germline,Light OASis Percentile,Light OASis Identity,Light Non-human peptides
10420_seq2,relaxed,0.663454545454546,0.868686868686869,,,,,,IGKV1-39*01,IGKJ1*01,0.619060606060606,0.868686868686869,13
10422_seq1,relaxed,0.165894736842105,0.68421052631579,IGHV3-66*01,IGHJ3*01,0.265473684210526,0.68421052631579,36,,,,,
10422_seq2,relaxed,0.187242424242424,0.696969696969697,,,,,,IGKV1-27*01,IGKJ1*01,0.182242424242424,0.696969696969697,30
10425_seq1,relaxed,0.815103448275862,0.931034482758621,IGHV3-33*01,IGHJ3*02,0.907068965517241,0.931034482758621,8,,,,,
10425_seq2,relaxed,1,1,,,,,,IGLV1-40*01,IGLJ3*02,1,1,0
10427_seq1,relaxed,1,1,,,,,,IGKV1-39*01,IGKJ4*01,1,1,0
10427_seq2,relaxed,0.762440677966102,0.906779661016949,IGHV1-24*01,IGHJ6*01,0.839305084745763,0.906779661016949,11,,,,,
10431_seq1,relaxed,0.840181818181818,0.939393939393939,,,,,,IGKV1-27*01,IGKJ4*01,0.727030303030303,0.939393939393939,6
10436_seq1,relaxed,0.253181818181818,0.718181818181818,IGHV3-23*01,IGHJ4*01,0.359727272727272,0.718181818181818,31,,,,,
10440_seq1,relaxed,0.0928070175438597,0.614035087719298,IGHV3-66*01,IGHJ6*01,0.120666666666667,0.614035087719298,44,,,,,
10440_seq2,relaxed,0.0996363636363637,0.626262626262626,,,,,,IGKV2-28*01,IGKJ2*01,0.0928787878787879,0.626262626262626,37
10441_seq1,relaxed,0.811508771929825,0.929824561403509,IGHV3-13*01,IGHJ6*01,0.904526315789474,0.929824561403509,8,,,,,
10441_seq2,relaxed,0.782530612244898,0.918367346938775,,,,,,IGKV1-5*03,IGKJ1*01,0.700387755102041,0.918367346938775,8
10458_seq1,relaxed,0.508,0.791304347826087,IGHV5-51*01,IGHJ5*01,0.531608695652174,0.791304347826087,24,,,,,
10458_seq2,relaxed,1,1,,,,,,IGKV2-28*01,IGKJ2*01,1,1,0
10459_seq1,relaxed,0.554538461538462,0.811965811965812,IGHV3-30*01,IGHJ4*01,0.590700854700855,0.811965811965812,22,,,,,
10459_seq2,relaxed,0.786217821782179,0.920792079207921,,,,,,IGKV3-15*01,IGKJ4*01,0.703712871287129,0.920792079207921,8
10467_seq1,relaxed,0.778115384615385,0.913461538461538,,,,,,IGKV2-28*01,IGKJ1*01,0.692538461538461,0.913461538461538,9
10467_seq2,relaxed,0.870928571428571,0.946428571428571,IGHV3-33*01,IGHJ6*01,0.942357142857143,0.946428571428571,6,,,,,
10468_seq1,relaxed,0.778115384615385,0.913461538461538,,,,,,IGKV2-28*01,IGKJ1*01,0.692538461538461,0.913461538461538,9
10468_seq2,relaxed,0.870928571428571,0.946428571428571,IGHV3-33*01,IGHJ6*01,0.942357142857143,0.946428571428571,6,,,,,
10473_seq1,relaxed,0.0115454545454546,0.445454545454545,IGHV1-46*01,IGHJ4*01,0.0433636363636364,0.445454545454545,61,,,,,
10473_seq2,relaxed,0.168,0.685714285714286,,,,,,IGKV4-1*01,IGKJ2*01,0.159571428571429,0.685714285714286,33
10498_seq1,relaxed,0.710428571428571,0.885714285714286,,,,,,IGKV2D-29*02,IGKJ4*01,0.651571428571429,0.885714285714286,12
10498_seq2,relaxed,0.781688073394495,0.91743119266055,IGHV3-7*01,IGHJ4*01,0.870293577981651,0.91743119266055,9,,,,,
10499_seq1,relaxed,0.710428571428571,0.885714285714286,,,,,,IGKV2D-29*02,IGKJ4*01,0.651571428571429,0.885714285714286,12
10499_seq2,relaxed,0.781688073394495,0.91743119266055,IGHV3-7*01,IGHJ4*01,0.870293577981651,0.91743119266055,9,,,,,
10501_seq1,relaxed,0.0117619047619048,0.447619047619048,IGHV1-3*01,IGHJ4*01,0.0450952380952381,0.447619047619048,58,,,,,
10501_seq2,relaxed,0.036979797979798,0.494949494949495,,,,,,IGKV1-16*01,IGKJ1*01,0.0284848484848485,0.494949494949495,50
10508_seq1,relaxed,0.123964285714286,0.651785714285714,IGHV5-10-1*04,IGHJ1*01,0.175214285714286,0.651785714285714,39,,,,,
10508_seq2,relaxed,0.549904761904762,0.80952380952381,,,,,,IGKV4-1*01,IGKJ2*01,0.468,0.80952380952381,20
10516_seq1,relaxed,0.1705,0.6875,IGHV3-66*01,IGHJ4*01,0.276,0.6875,35,,,,,
10516_seq2,relaxed,0.583909090909091,0.828282828282828,,,,,,IGKV1-39*01,IGKJ1*01,0.525161616161616,0.828282828282828,17
10523_seq1,relaxed,1,1,,,,,,IGKV1-12*01,IGKJ4*01,1,1,0
10523_seq2,relaxed,0.917508474576271,0.957627118644068,IGHV1-2*02,IGHJ4*01,0.97335593220339,0.957627118644068,5,,,,,
10524_seq1,relaxed,0.565727272727273,0.818181818181818,IGHV4-30-4*01,IGHJ3*01,0.608727272727273,0.818181818181818,20,,,,,
10524_seq2,relaxed,0.118818181818182,0.646464646464646,,,,,,IGKV6D-41*01,IGKJ2*01,0.110111111111111,0.646464646464646,35
10528_seq1,relaxed,0.0754285714285714,0.553571428571429,IGHV3-74*01,IGHJ3*01,0.0890714285714286,0.553571428571429,50,,,,,
10528_seq2,relaxed,0.0861717171717172,0.585858585858586,,,,,,IGKV2-29*02,IGKJ1*01,0.0631717171717172,0.585858585858586,41
10534_seq1,relaxed,0.540212389380531,0.805309734513274,IGHV3-74*03,IGHJ4*01,0.577495575221239,0.805309734513274,22,,,,,
10534_seq2,relaxed,0.884727272727273,0.94949494949495,,,,,,IGKV3-15*01,IGKJ2*01,0.749838383838384,0.94949494949495,5
10535_seq1,relaxed,0.0887878787878788,0.595959595959596,,,,,,IGKV1-27*01,IGKJ2*01,0.066979797979798,0.595959595959596,40
10535_seq2,relaxed,0.0750526315789474,0.552631578947368,IGHV2-5*09,IGHJ3*01,0.0887894736842105,0.552631578947368,51,,,,,
10536_seq1,relaxed,0.058878787878788,0.525252525252525,,,,,,IGKV1-NL1*01,IGKJ2*01,0.0411010101010101,0.525252525252525,47
10536_seq2,relaxed,0.127353982300885,0.654867256637168,IGHV3-73*01,IGHJ3*01,0.180761061946903,0.654867256637168,39,,,,,
10537_seq1,relaxed,0.004,0.333333333333333,IGHV1/OR15-3*01,IGHJ4*01,0.0116666666666667,0.333333333333333,74,,,,,
10537_seq2,relaxed,0.058878787878788,0.525252525252525,,,,,,IGKV1-27*01,IGKJ2*01,0.0411010101010101,0.525252525252525,47
10539_seq1,relaxed,0.671366972477064,0.871559633027523,IGHV3-74*01,IGHJ4*01,0.757183486238532,0.871559633027523,14,,,,,
10539_seq2,relaxed,0.560961165048544,0.815533980582524,,,,,,IGLV2-14*03,IGLJ2*01,0.484495145631068,0.815533980582524,19
10545_seq1,relaxed,0.696981651376147,0.880733944954129,IGHV3-23*01,IGHJ2*01,0.770688073394496,0.880733944954129,13,,,,,
10545_seq2,relaxed,0.557705882352941,0.813725490196078,,,,,,IGLV1-44*01,IGLJ3*02,0.47943137254902,0.813725490196078,19
10553_seq1,relaxed,0.36669696969697,0.747474747474748,,,,,,IGKV4-1*01,IGKJ2*01,0.289161616161616,0.747474747474748,25
10553_seq2,relaxed,0.362454545454545,0.745454545454545,IGHV4-4*08,IGHJ2*01,0.432272727272727,0.745454545454545,28,,,,,
10558_seq1,relaxed,0.129549019607843,0.656862745098039,,,,,,IGLV8-61*01,IGLJ2*01,0.122235294117647,0.656862745098039,35
10558_seq2,relaxed,0.523964912280702,0.798245614035088,IGHV3-48*03,IGHJ5*01,0.561456140350878,0.798245614035088,23,,,,,
10563_seq1,relaxed,1,1,,,,,,IGLV3-21*02,IGLJ3*02,1,1,0
10563_seq2,relaxed,0.0837826086956522,0.573913043478261,IGHV3-23*04,IGHJ2*01,0.0945652173913043,0.573913043478261,49,,,,,
10563_seq3,relaxed,0.663454545454546,0.868686868686869,,,,,,IGKV1-16*01,IGKJ1*01,0.619060606060606,0.868686868686869,13
10563_seq4,relaxed,0.921710743801653,0.958677685950413,IGHV1-2*02,IGHJ3*02,0.976297520661157,0.958677685950413,5,,,,,
10580_seq1,relaxed,0.596931034482759,0.836206896551724,IGHV6-1*01,IGHJ5*01,0.658103448275862,0.836206896551724,19,,,,,
10580_seq2,relaxed,0.736,0.9,,,,,,IGKV3/OR2-268*01,IGKJ1*01,0.671,0.9,10
10585_seq1,relaxed,0.004,0.364583333333333,,,,,,IGKV3-11*01,IGKJ2*01,0.00683333333333332,0.364583333333333,61
10585_seq2,relaxed,0.0932142857142857,0.616071428571429,IGHV1-46*01,IGHJ3*01,0.124535714285714,0.616071428571429,43,,,,,
10586_seq1,relaxed,0.004,0.364583333333333,,,,,,IGKV3-11*01,IGKJ2*01,0.00683333333333332,0.364583333333333,61
10586_seq2,relaxed,0.0932142857142857,0.616071428571429,IGHV1-46*01,IGHJ3*01,0.124535714285714,0.616071428571429,43,,,,,
10590_seq1,relaxed,1,1,,,,,,IGKV3-20*01,IGKJ4*01,1,1,0
10590_seq2,relaxed,0.605915887850467,0.841121495327103,IGHV1-69*02,IGHJ4*01,0.674588785046729,0.841121495327103,17,,,,,
10592_seq1,relaxed,1,1,,,,,,IGKV3-20*01,IGKJ4*01,1,1,0
10592_seq2,relaxed,0.605915887850467,0.841121495327103,IGHV1-69*02,IGHJ4*01,0.674588785046729,0.841121495327103,17,,,,,
10621_seq1,relaxed,0.564153846153846,0.817307692307692,,,,,,IGKV4-1*01,IGKJ1*01,0.489461538461538,0.817307692307692,19
10621_seq2,relaxed,0.511423423423423,0.792792792792793,IGHV1-3*01,IGHJ4*01,0.538009009009009,0.792792792792793,23,,,,,
10621_seq3,relaxed,0.274265306122449,0.724489795918367,,,,,,IGKV1-39*01,IGKJ1*01,0.228081632653061,0.724489795918367,27
10621_seq4,relaxed,0.362789473684211,0.745614035087719,IGHV3-23*04,IGHJ2*01,0.432719298245614,0.745614035087719,29,,,,,
10624_seq1,relaxed,0.275220183486238,0.724770642201835,IGHV1-69*02,IGHJ4*01,0.37797247706422,0.724770642201835,30,,,,,
10624_seq2,relaxed,0.584428571428572,0.828571428571429,,,,,,IGKV4-1*01,IGKJ1*01,0.526142857142857,0.828571428571429,18
10625_seq1,relaxed,0.545692307692308,0.807692307692308,,,,,,IGKV2-30*02,IGKJ4*01,0.464153846153846,0.807692307692308,20
10625_seq2,relaxed,0.137821428571429,0.669642857142857,IGHV1-2*02,IGHJ4*01,0.220857142857143,0.669642857142857,37,,,,,
10630_seq1,relaxed,0.545692307692308,0.807692307692308,,,,,,IGKV2-30*02,IGKJ4*01,0.464153846153846,0.807692307692308,20
10630_seq2,relaxed,0.137821428571429,0.669642857142857,IGHV1-2*02,IGHJ4*01,0.220857142857143,0.669642857142857,37,,,,,
10636_seq1,relaxed,0.0907920792079208,0.603960396039604,,,,,,IGLV7-46*01,IGLJ3*02,0.0745445544554456,0.603960396039604,40
10636_seq2,relaxed,0.429,0.76,,,,,,IGKV1-39*01,IGKJ2*01,0.332,0.76,24
10636_seq3,relaxed,0.143646017699115,0.672566371681416,IGHV1-18*01,IGHJ3*01,0.229699115044248,0.672566371681416,37,,,,,
10638_seq1,relaxed,0.783272727272727,0.919191919191919,,,,,,IGKV1-12*01,IGKJ4*01,0.701707070707071,0.919191919191919,8
10638_seq2,relaxed,0.444567567567567,0.765765765765766,IGHV4-38-2*01,IGHJ3*01,0.470720720720721,0.765765765765766,26,,,,,
10639_seq1,relaxed,0.774648648648649,0.90990990990991,IGHV4-39*01,IGHJ3*01,0.847756756756757,0.90990990990991,10,,,,,
10639_seq2,relaxed,0.734585858585859,0.898989898989899,,,,,,IGKV1-39*01,IGKJ4*01,0.669989898989899,0.898989898989899,10
10644_seq1,relaxed,1,1,,,,,,IGKV4-1*01,IGKJ3*01,1,1,0
10644_seq2,relaxed,0.520203389830508,0.796610169491525,IGHV6-1*01,IGHJ4*01,0.554423728813559,0.796610169491525,24,,,,,
10646_seq1,relaxed,0.0929357798165138,0.614678899082569,IGHV3-23*04,IGHJ4*01,0.121889908256881,0.614678899082569,42,,,,,
10646_seq2,relaxed,0.519067961165049,0.796116504854369,,,,,,IGKV1-39*01,IGKJ1*01,0.437514563106796,0.796116504854369,21
10647_seq1,relaxed,0.0929357798165138,0.614678899082569,IGHV3-23*04,IGHJ4*01,0.121889908256881,0.614678899082569,42,,,,,
10647_seq2,relaxed,0.519067961165049,0.796116504854369,,,,,,IGKV1-39*01,IGKJ1*01,0.437514563106796,0.796116504854369,21
10656_seq1,relaxed,1,1,,,,,,IGKV3-11*01,IGKJ1*01,1,1,0
10657_seq1,relaxed,0.227897196261682,0.710280373831776,IGHV1-2*02,IGHJ4*01,0.328121495327102,0.710280373831776,31,,,,,
10657_seq2,relaxed,0.415181818181818,0.757575757575758,,,,,,IGKV1-39*01,IGKJ4*01,0.323757575757575,0.757575757575758,24
10659_seq1,relaxed,0.136333333333333,0.666666666666667,IGHV1-46*01,IGHJ2*01,0.211333333333333,0.666666666666667,38,,,,,
10659_seq2,relaxed,0.217040404040404,0.707070707070707,,,,,,IGKV1-33*01,IGKJ1*01,0.200727272727273,0.707070707070707,29
10663_seq1,relaxed,0.562724770642202,0.81651376146789,IGHV3-11*01,IGHJ3*01,0.603889908256881,0.81651376146789,20,,,,,
10663_seq2,relaxed,0.523576923076923,0.798076923076923,,,,,,IGKV2-30*02,IGKJ1*01,0.442807692307692,0.798076923076923,21
10665_seq1,relaxed,0.422892857142857,0.758928571428571,IGHV3-23*01,IGHJ4*01,0.453035714285714,0.758928571428571,27,,,,,
10665_seq2,relaxed,1,1,,,,,,IGLV2-14*03,IGLJ1*01,1,1,0
10674_seq1,relaxed,0.447873786407767,0.766990291262136,,,,,,IGKV3-11*01,IGKJ1*01,0.346679611650485,0.766990291262136,24
10674_seq2,relaxed,0.36727027027027,0.747747747747748,IGHV1-3*01,IGHJ3*01,0.438693693693694,0.747747747747748,28,,,,,
10675_seq1,relaxed,0.447873786407767,0.766990291262136,,,,,,IGKV3-11*01,IGKJ1*01,0.346679611650485,0.766990291262136,24
10675_seq2,relaxed,0.36727027027027,0.747747747747748,IGHV1-3*01,IGHJ3*01,0.438693693693694,0.747747747747748,28,,,,,
10680_seq1,relaxed,0.622809523809524,0.847619047619048,,,,,,IGKV1-16*01,IGKJ4*01,0.578285714285714,0.847619047619048,16
10680_seq2,relaxed,0.668037037037037,0.87037037037037,IGHV3-23*04,IGHJ4*01,0.755518518518519,0.87037037037037,14,,,,,
10681_seq1,relaxed,0.326924528301887,0.735849056603773,IGHV1-46*01,IGHJ4*01,0.405792452830189,0.735849056603773,28,,,,,
10681_seq2,relaxed,0.479333333333334,0.777777777777778,,,,,,IGKV1-33*01,IGKJ2*01,0.374,0.777777777777778,22
10687_seq1,relaxed,1,1,,,,,,IGKV1-39*01,IGKJ1*01,1,1,0
10687_seq2,relaxed,0.756172413793104,0.905172413793103,IGHV1-2*02,IGHJ2*01,0.834965517241379,0.905172413793103,11,,,,,
10687_seq3,relaxed,0.519858407079646,0.79646017699115,IGHV1-46*01,IGHJ4*01,0.553778761061947,0.79646017699115,23,,,,,
10691_seq1,relaxed,0.632532110091743,0.853211009174312,IGHV3-23*01,IGHJ4*01,0.711669724770642,0.853211009174312,16,,,,,
10691_seq2,relaxed,0.734585858585859,0.898989898989899,,,,,,IGKV1-39*01,IGKJ3*01,0.669989898989899,0.898989898989899,10
10707_seq1,relaxed,0.991346153846154,0.990384615384615,,,,,,IGKV2-28*01,IGKJ3*01,0.803846153846156,0.990384615384615,1
10707_seq2,relaxed,0.681,0.875,IGHV3-30*03,IGHJ4*01,0.762,0.875,14,,,,,
10709_seq1,relaxed,0.957183486238532,0.972477064220183,IGHV3-30*02,IGHJ4*01,0.987990825688073,0.972477064220183,3,,,,,
10709_seq2,relaxed,1,1,,,,,,IGLV1-40*01,IGLJ3*02,1,1,0
10730_seq1,relaxed,0.447873786407767,0.766990291262136,,,,,,IGKV4-1*01,IGKJ3*01,0.346679611650485,0.766990291262136,24
10730_seq2,relaxed,0.385073394495413,0.752293577981651,IGHV3-74*01,IGHJ5*01,0.447064220183486,0.752293577981651,27,,,,,
10735_seq1,relaxed,1,1,,,,,,IGKV3-11*01,IGKJ2*01,1,1,0
10735_seq2,relaxed,0.808,0.928571428571429,IGHV4-34*01,IGHJ5*02,0.901142857142857,0.928571428571429,8,,,,,
10737_seq1,relaxed,0.582090909090909,0.827272727272727,IGHV3-23*03,IGHJ4*01,0.630727272727273,0.827272727272727,19,,,,,
10737_seq2,relaxed,0.268425742574258,0.722772277227723,,,,,,IGKV3/OR2-268*01,IGKJ2*01,0.224990099009901,0.722772277227723,28
10742_seq1,relaxed,0.649818181818182,0.863636363636364,IGHV4-38-2*01,IGHJ4*01,0.739090909090909,0.863636363636364,15,,,,,
10742_seq2,relaxed,0.583909090909091,0.828282828282828,,,,,,IGKV1-33*01,IGKJ1*01,0.525161616161616,0.828282828282828,17
10745_seq1,relaxed,0.137821428571429,0.669642857142857,IGHV2-26*01,IGHJ4*01,0.220857142857143,0.669642857142857,37,,,,,
10745_seq2,relaxed,0.600414141414141,0.838383838383838,,,,,,IGKV1-39*01,IGKJ4*01,0.555313131313131,0.838383838383838,16
10746_seq1,relaxed,0.255826446280992,0.71900826446281,IGHV3-21*01,IGHJ6*01,0.36303305785124,0.71900826446281,34,,,,,
10746_seq2,relaxed,0.583909090909091,0.828282828282828,,,,,,IGKV1-NL1*01,IGKJ2*01,0.525161616161616,0.828282828282828,17
10750_seq1,relaxed,0.631037037037037,0.851851851851852,IGHV3-21*05,IGHJ4*01,0.708,0.851851851851852,16,,,,,
10750_seq2,relaxed,0.567285714285714,0.819047619047619,,,,,,IGKV4-1*01,IGKJ2*01,0.494333333333333,0.819047619047619,19
10751_seq1,relaxed,0.523576923076923,0.798076923076923,,,,,,IGKV2D-29*02,IGKJ1*01,0.442807692307692,0.798076923076923,21
10751_seq2,relaxed,0.104578947368421,0.631578947368421,IGHV3-15*01,IGHJ4*01,0.146473684210526,0.631578947368421,42,,,,,
10753_seq1,relaxed,0.443326530612245,0.76530612244898,,,,,,IGKV1-16*01,IGKJ2*01,0.343142857142857,0.76530612244898,23
10753_seq2,relaxed,0.134818181818182,0.663636363636364,IGHV2-26*01,IGHJ2*01,0.201636363636364,0.663636363636364,37,,,,,
10754_seq1,relaxed,0.248805309734513,0.716814159292035,IGHV1-69*02,IGHJ2*01,0.354256637168141,0.716814159292035,32,,,,,
10754_seq2,relaxed,0.719,0.888888888888889,,,,,,IGKV1-33*01,IGKJ1*01,0.658555555555556,0.888888888888889,11
10757_seq1,relaxed,0.729913043478261,0.895652173913044,IGHV1-69*01,IGHJ4*01,0.808391304347826,0.895652173913044,12,,,,,
10757_seq2,relaxed,1,1,,,,,,IGKV3-11*01,IGKJ1*01,1,1,0
10758_seq1,relaxed,0.783678571428571,0.919642857142857,IGHV1-69*01,IGHJ4*01,0.876928571428571,0.919642857142857,9,,,,,
10758_seq2,relaxed,0.600414141414141,0.838383838383838,,,,,,IGKV1-39*01,IGKJ1*01,0.555313131313131,0.838383838383838,16
10764_seq1,relaxed,0.651009708737864,0.864077669902913,,,,,,IGLV1-47*01,IGLJ2*01,0.605233009708738,0.864077669902913,14
10764_seq2,relaxed,0.677846846846847,0.873873873873874,IGHV3-21*05,IGHJ2*01,0.760423423423423,0.873873873873874,14,,,,,
10766_seq1,relaxed,1,1,,,,,,IGKV1-39*01,IGKJ1*01,1,1,0
10766_seq2,relaxed,0.831090909090909,0.936363636363636,IGHV1-46*01,IGHJ4*01,0.917727272727273,0.936363636363636,7,,,,,
10766_seq3,relaxed,0.634,0.854545454545455,IGHV3-33*01,IGHJ5*02,0.715272727272727,0.854545454545455,16,,,,,
10768_seq1,relaxed,1,1,,,,,,IGKV3-20*01,IGKJ2*01,1,1,0
10768_seq2,relaxed,0.733407407407407,0.898148148148148,IGHV3-23*01,IGHJ3*02,0.815629629629629,0.898148148148148,11,,,,,
10769_seq1,relaxed,1,1,,,,,,IGKV3-20*01,IGKJ2*01,1,1,0
10769_seq2,relaxed,0.733407407407407,0.898148148148148,IGHV3-23*01,IGHJ3*02,0.815629629629629,0.898148148148148,11,,,,,
10779_seq1,relaxed,0.705607142857143,0.883928571428571,IGHV3-23*01,IGHJ6*01,0.778035714285714,0.883928571428571,13,,,,,
10779_seq2,relaxed,1,1,,,,,,IGKV1-33*01,IGKJ4*01,1,1,0
10780_seq1,relaxed,0.155525423728813,0.677966101694915,IGHV1-69*01,IGHJ4*01,0.245898305084745,0.677966101694915,38,,,,,
10780_seq2,relaxed,1,1,,,,,,IGKV1-33*01,IGKJ4*01,1,1,0
10783_seq1,relaxed,0.372,0.75,,,,,,IGLV3-1*01,IGLJ2*01,0.298,0.75,24
10783_seq2,relaxed,0.613495412844037,0.844036697247706,IGHV3-23*04,IGHJ4*01,0.683917431192661,0.844036697247706,17,,,,,
10787_seq1,relaxed,0.663454545454546,0.868686868686869,,,,,,IGKV1-9*01,IGKJ1*01,0.619060606060606,0.868686868686869,13
10787_seq2,relaxed,0.631037037037037,0.851851851851852,IGHV3-23*01,IGHJ4*01,0.708,0.851851851851852,16,,,,,
10788_seq1,relaxed,0.684333333333333,0.876190476190476,IGHV3-23*01,IGHJ4*01,0.763666666666667,0.876190476190476,13,,,,,
10788_seq2,relaxed,1,1,,,,,,IGKV1-39*01,IGKJ4*01,1,1,0
10789_seq1,relaxed,1,1,,,,,,IGLV1-40*01,IGLJ2*01,1,1,0
10789_seq2,relaxed,0.783678571428571,0.919642857142857,IGHV3-23*01,IGHJ3*02,0.876928571428571,0.919642857142857,9,,,,,
10791_seq1,relaxed,0.0914285714285714,0.607142857142857,IGHV1-2*02,IGHJ4*01,0.111,0.607142857142857,44,,,,,
10791_seq2,relaxed,0.36669696969697,0.747474747474748,,,,,,IGKV1-39*01,IGKJ1*01,0.289161616161616,0.747474747474748,25
10792_seq1,relaxed,0.0914285714285714,0.607142857142857,IGHV1-2*02,IGHJ4*01,0.111,0.607142857142857,44,,,,,
10792_seq2,relaxed,0.36669696969697,0.747474747474748,,,,,,IGKV1-39*01,IGKJ1*01,0.289161616161616,0.747474747474748,25
10797_seq1,relaxed,0.248805309734513,0.716814159292035,IGHV1-69*02,IGHJ2*01,0.354256637168141,0.716814159292035,32,,,,,
10797_seq2,relaxed,0.719,0.888888888888889,,,,,,IGKV1-33*01,IGKJ1*01,0.658555555555556,0.888888888888889,11
10801_seq1,relaxed,0.515678571428571,0.794642857142857,IGHV1-69*01,IGHJ4*01,0.545964285714285,0.794642857142857,23,,,,,
10801_seq2,relaxed,0.810020202020202,0.929292929292929,,,,,,IGKV1-12*01,IGKJ4*01,0.711363636363636,0.929292929292929,7
10803_seq1,relaxed,0.0497272727272727,0.518181818181818,IGHV1-2*02,IGHJ4*01,0.0810909090909091,0.518181818181818,53,,,,,
10803_seq2,relaxed,0.129222222222222,0.656565656565657,,,,,,IGKV6-21*02,IGKJ2*01,0.121878787878788,0.656565656565657,34
10806_seq1,relaxed,0.771454545454545,0.909090909090909,,,,,,IGKV1-12*01,IGKJ4*01,0.685545454545455,0.909090909090909,9
10806_seq2,relaxed,0.592333333333334,0.833333333333333,IGHV3-30*03,IGHJ1*01,0.648333333333334,0.833333333333333,19,,,,,
10820_seq1,relaxed,0.0913675213675213,0.606837606837607,IGHV1-3*01,IGHJ6*01,0.110786324786325,0.606837606837607,46,,,,,
10820_seq2,relaxed,0.751,0.903846153846154,,,,,,IGKV2-30*02,IGKJ2*01,0.677153846153846,0.903846153846154,10
10825_seq1,relaxed,0.415181818181818,0.757575757575758,,,,,,IGKV1-NL1*01,IGKJ4*01,0.323757575757575,0.757575757575758,24
10825_seq2,relaxed,0.100545454545455,0.627272727272727,IGHV1-18*01,IGHJ3*02,0.14,0.627272727272727,41,,,,,
10829_seq1,relaxed,0.319176991150443,0.734513274336283,IGHV1-3*01,IGHJ4*01,0.402185840707965,0.734513274336283,30,,,,,
10829_seq2,relaxed,0.479333333333334,0.777777777777778,,,,,,IGLV3-21*01,IGLJ1*01,0.374,0.777777777777778,22
10830_seq1,relaxed,0.206877551020408,0.704081632653061,,,,,,IGKV1-39*01,IGKJ4*01,0.19534693877551,0.704081632653061,29
10830_seq2,relaxed,0.236481481481481,0.712962962962963,IGHV1-46*01,IGHJ4*01,0.338851851851852,0.712962962962963,31,,,,,
10835_seq1,relaxed,0.519858407079646,0.79646017699115,IGHV1-3*01,IGHJ4*01,0.553778761061947,0.79646017699115,23,,,,,
10835_seq2,relaxed,0.163769230769231,0.682692307692308,,,,,,IGKV3-11*01,IGKJ2*01,0.152923076923077,0.682692307692308,33
10843_seq1,relaxed,0.638339622641509,0.858490566037736,IGHV3-23*03,IGHJ4*01,0.725924528301887,0.858490566037736,15,,,,,
10843_seq2,relaxed,0.217040404040404,0.707070707070707,,,,,,IGKV1-16*01,IGKJ1*01,0.200727272727273,0.707070707070707,29
10845_seq1,relaxed,0.103630630630631,0.630630630630631,IGHV1-2*02,IGHJ4*01,0.144387387387387,0.630630630630631,41,,,,,
10845_seq2,relaxed,0.09,0.6,,,,,,IGKV3-20*01,IGKJ2*01,0.069,0.6,40
10856_seq1,relaxed,0.191155339805825,0.699029126213592,,,,,,IGKV7-3*01,IGKJ2*01,0.186155339805825,0.699029126213592,31
10856_seq2,relaxed,0.0858141592920354,0.584070796460177,IGHV3-48*01,IGHJ3*01,0.0982212389380531,0.584070796460177,47,,,,,
10858_seq1,relaxed,0.605915887850467,0.841121495327103,IGHV1-3*01,IGHJ4*01,0.674588785046729,0.841121495327103,17,,,,,
10858_seq2,relaxed,0.320224489795919,0.73469387755102,,,,,,IGKV1-5*01,IGKJ1*01,0.249734693877551,0.73469387755102,26
10859_seq1,relaxed,0.262923076923077,0.721153846153846,,,,,,IGKV2-28*01,IGKJ1*01,0.222076923076923,0.721153846153846,29
10859_seq2,relaxed,0.322247863247864,0.735042735042735,IGHV3-21*01,IGHJ6*01,0.403615384615385,0.735042735042735,31,,,,,
10873_seq1,relaxed,0.546585858585858,0.808080808080808,,,,,,IGKV1-12*01,IGKJ1*01,0.464969696969697,0.808080808080808,19
10873_seq2,relaxed,0.186214285714286,0.696428571428571,IGHV1-46*01,IGHJ4*01,0.298142857142857,0.696428571428571,34,,,,,
10874_seq1,relaxed,0.546585858585858,0.808080808080808,,,,,,IGKV1-12*01,IGKJ1*01,0.464969696969697,0.808080808080808,19
10874_seq2,relaxed,0.186214285714286,0.696428571428571,IGHV1-46*01,IGHJ4*01,0.298142857142857,0.696428571428571,34,,,,,
10881_seq1,relaxed,0.592333333333334,0.833333333333333,,,,,,IGLV1-44*01,IGLJ2*01,0.540666666666667,0.833333333333333,17
10881_seq2,relaxed,0.786947368421053,0.921052631578947,IGHV3-23*01,IGHJ4*01,0.880842105263158,0.921052631578947,9,,,,,
10882_seq1,relaxed,0.107782608695652,0.634782608695652,IGHV3-66*01,IGHJ4*01,0.153521739130435,0.634782608695652,42,,,,,
10882_seq2,relaxed,0.469529411764706,0.774509803921569,,,,,,IGKV1-12*01,IGKJ4*01,0.365176470588235,0.774509803921569,23
10898_seq1,relaxed,0.163769230769231,0.682692307692308,,,,,,IGKV3-11*01,IGKJ2*01,0.152923076923077,0.682692307692308,33
10898_seq2,relaxed,0.519858407079646,0.79646017699115,IGHV1-3*01,IGHJ4*01,0.553778761061947,0.79646017699115,23,,,,,
10903_seq1,relaxed,1,1,,,,,,IGKV2D-29*01,IGKJ1*01,1,1,0
10903_seq2,relaxed,0.982310344827586,0.982758620689655,IGHV1-18*01,IGHJ6*01,0.991551724137931,0.982758620689655,2,,,,,
